 ,Atlanta,Boston,Brooklyn,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,San Francisco,Houston,Indiana,Los Angeles,Los Angeles,Memphis,Miami,Milwaukee,Minnesota,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Portland,Sacramento,San Antonio,Toronto,Utah,Washington
Atlanta,0,"1,075",866,244,716,710,781,"1,404",722,"2,474",793,573,"2,175","2,175",385,663,814,"1,287",470,862,848,439,776,"1,846","2,595","2,469",988,952,"1,834",638
Boston,"1,075",0,216,840,982,640,"1,768","1,972",707,"3,099","1,848",937,"2,984","2,984","1,316","1,491","1,074","1,548","1,526",215,"1,676","1,287",311,"2,635","3,087","3,012","2,043",551,"2,400",440
Brooklyn,866,216,0,629,793,466,"1,553","1,783",619,"2,910","1,632",740,"2,795","2,795","1,101","1,281",885,"1,358","1,310",4.8,"1,453","1,076",100,"2,412","2,898","2,823","1,828",496,"2,210",229
Charlotte,244,840,629,0,755,515,"1,026","1,564",629,"2,719","1,038",602,"2,420","2,420",620,729,853,"1,323",715,623,"1,093",524,538,"2,091","2,755","2,680","1,233",758,"1,994",399
Chicago,716,982,793,755,0,344,967,"1,004",281,"2,131","1,082",165,"2,016","2,016",532,"1,377",92.2,566,925,789,794,"1,154",758,"1,753","2,120","2,045","1,241",520,"1,432",700
Cleveland,710,640,466,515,344,0,"1,183","1,332",169,"2,460","1,297",298,"2,344","2,344",731,"1,242",435,908,"1,054",462,"1,055","1,037",431,"2,014","2,448","2,373","1,456",292,"1,760",373
Dallas,781,"1,768","1,553","1,026",967,"1,183",0,794,"1,186","1,732",239,937,"1,436","1,436",452,"1,313","1,003","1,099",505,"1,549",206,"1,089","1,468","1,064","2,035","1,727",274,"1,416","1,151","1,329"
Denver,"1,404","1,972","1,783","1,564","1,004","1,332",794,0,"1,269","1,254","1,032","1,123","1,017","1,017","1,047","2,064","1,045",927,"1,300","1,778",678,"1,840","1,728",821,"1,243","1,167",934,"1,508",433,"1,661"
Detroit,722,707,619,629,281,169,"1,186","1,269",0,"3,858","2,114",432,"3,673","3,673","1,214","2,245",615,"1,372","1,734","1,005","1,686","1,885",955,"3,230","3,839","3,718","2,369",373,"2,732",862
San Francisco,"2,474","3,099","2,910","2,719","2,131","2,460","1,732","1,254","3,858",0,"1,929","2,280",383,383,"2,092","3,114","2,174","1,904","2,275","2,906","1,627","2,891","2,875",754,635,87.9,"1,733","2,637",889,"2,818"
Houston,793,"1,848","1,632","1,038","1,082","1,297",239,"1,032","2,114","1,929",0,"1,052","1,546","1,546",568,"1,187","1,172","1,336",348,"1,629",445,963,"1,548","1,174","2,269","1,929",197,"1,531","1,385","1,408"
Indiana,573,937,740,602,165,298,937,"1,123",432,"2,280","1,052",0,"2,105","2,105",502,"1,234",262,733,860,738,777,"1,011",671,"1,737","2,268","2,192","1,211",487,"1,553",604
